setting,description,seed,n_seeds_total,masked,pr_auc,roc_auc,recall_fixed,precision_fixed,far_fixed,rmse,mae,r2
drop_cumulative_energy,cumulative_energy 제외,22,8,cumulative_energy,0.6959209059083425,0.8718700300248899,62.33766233766234,62.33766233766234,14.332784184514002,2.695479766520686,2.2323718070983887,0.47604644298553467
drop_cumulative_energy,cumulative_energy 제외,33,8,cumulative_energy,0.6757196007218439,0.8628126404073686,64.93506493506493,63.02521008403362,14.497528830313016,2.8685957856791555,2.3589723110198975,0.40658384561538696
drop_cumulative_energy,cumulative_energy 제외,44,8,cumulative_energy,0.6919027513890141,0.8687320367715755,62.33766233766234,62.608695652173914,14.168039538714991,2.7007310442772616,2.3091535568237305,0.4740029573440552
drop_cumulative_energy,cumulative_energy 제외,55,8,cumulative_energy,0.6829413061642619,0.864738227176448,59.307359307359306,62.55707762557078,13.509060955518946,2.7594321360564344,2.248821496963501,0.45088911056518555
drop_cumulative_energy,cumulative_energy 제외,66,8,cumulative_energy,0.6694407855442299,0.8589685986720583,60.60606060606061,61.94690265486726,14.168039538714991,2.780609314236135,2.3168458938598633,0.4424285292625427
drop_cumulative_energy,cumulative_energy 제외,77,8,cumulative_energy,0.689964048339204,0.8707717323862298,63.63636363636363,62.82051282051282,14.332784184514002,2.6913876470578963,2.260380744934082,0.4776361584663391
drop_cumulative_energy,cumulative_energy 제외,88,8,cumulative_energy,0.6856306745562647,0.8667493955797085,61.904761904761905,62.99559471365639,13.838550247116968,2.766270535233816,2.1998157501220703,0.44816410541534424
drop_inter_segment,세그먼트 간 이력 제외 (스펙트로그램에 없는 정보),11,8,"energy_trend_slope,cumulative_energy",0.601824653399971,0.8198577918512021,57.142857142857146,58.92857142857143,15.156507413509061,2.9340249467242927,2.3263449668884277,0.3792049288749695
drop_inter_segment,세그먼트 간 이력 제외 (스펙트로그램에 없는 정보),22,8,"energy_trend_slope,cumulative_energy",0.5984408159809028,0.8165914261466157,55.41125541125541,59.25925925925926,14.497528830313016,2.952384088810487,2.3282816410064697,0.37141162157058716
drop_inter_segment,세그먼트 간 이력 제외 (스펙트로그램에 없는 정보),33,8,"energy_trend_slope,cumulative_energy",0.5738017962812504,0.8009727779085275,50.64935064935065,57.073170731707314,14.497528830313016,3.0249341468894126,2.321845769882202,0.3401389718055725
drop_inter_segment,세그먼트 간 이력 제외 (스펙트로그램에 없는 정보),44,8,"energy_trend_slope,cumulative_energy",0.5909009075820977,0.8169480162890378,52.81385281385281,60.09852216748769,13.344316309719934,3.0142624697244202,2.350538492202759,0.3447866439819336
drop_inter_segment,세그먼트 간 이력 제외 (스펙트로그램에 없는 정보),55,8,"energy_trend_slope,cumulative_energy",0.585416382255173,0.8060078307195275,48.917748917748916,60.42780748663102,12.191103789126853,2.9723532242787654,2.3849241733551025,0.3628796935081482
drop_inter_segment,세그먼트 간 이력 제외 (스펙트로그램에 없는 정보),66,8,"energy_trend_slope,cumulative_energy",0.5932885747824628,0.8138314184442685,55.84415584415584,60.0,14.168039538714991,2.9812511452086867,2.3584372997283936,0.3590594530105591
drop_inter_segment,세그먼트 간 이력 제외 (스펙트로그램에 없는 정보),77,8,"energy_trend_slope,cumulative_energy",0.6023717006461771,0.8195225971173252,55.41125541125541,60.37735849056604,13.838550247116968,2.987942944493884,2.2696714401245117,0.356178879737854
drop_inter_segment,세그먼트 간 이력 제외 (스펙트로그램에 없는 정보),88,8,"energy_trend_slope,cumulative_energy",0.5971326863909762,0.8164059992725562,54.112554112554115,60.09615384615385,13.673805601317957,2.94048417470689,2.342592477798462,0.37646859884262085
drop_intra_segment,세그먼트 내 통계 제외 (스펙트로그램에서 복원 가능),11,8,"rms_energy,kurtosis,peak_amplitude,crest_factor",0.7252085465192554,0.8949770712538423,81.81818181818181,66.54929577464789,15.650741350906095,2.7012383376279745,2.4225234985351562,0.47380536794662476
drop_intra_segment,세그먼트 내 통계 제외 (스펙트로그램에서 복원 가능),22,8,"rms_energy,kurtosis,peak_amplitude,crest_factor",0.7421733055546393,0.8992775483714528,83.11688311688312,65.52901023890784,16.639209225700164,2.6447748384745395,2.3185007572174072,0.49557334184646606
drop_intra_segment,세그먼트 내 통계 제외 (스펙트로그램에서 복원 가능),33,8,"rms_energy,kurtosis,peak_amplitude,crest_factor",0.7329762479763298,0.8949057532253578,82.25108225108225,65.51724137931035,16.474464579901152,2.6370048311237726,2.26893949508667,0.49853283166885376
drop_intra_segment,세그먼트 내 통계 제외 (스펙트로그램에서 복원 가능),44,8,"rms_energy,kurtosis,peak_amplitude,crest_factor",0.7302028478911152,0.8940356732778479,82.25108225108225,67.13780918727915,15.321252059308073,2.609792618825325,2.2562296390533447,0.5088291168212891
drop_intra_segment,세그먼트 내 통계 제외 (스펙트로그램에서 복원 가능),55,8,"rms_energy,kurtosis,peak_amplitude,crest_factor",0.7262003843560325,0.8958328875956553,83.98268398268398,66.21160409556315,16.30971993410214,2.61501201342418,2.2443666458129883,0.5068625211715698
drop_intra_segment,세그먼트 내 통계 제외 (스펙트로그램에서 복원 가능),66,8,"rms_energy,kurtosis,peak_amplitude,crest_factor",0.7246022659011004,0.8948059079854797,83.11688311688312,67.6056338028169,15.156507413509061,2.619838271791413,2.291388511657715,0.5050405263900757
