model,seed,target_far,recall
GradientBoosting,101,17.5,71.86147186147186
GradientBoosting,101,20.0,74.02597402597402
GradientBoosting,202,2.5,19.913419913419915
GradientBoosting,202,5.0,34.63203463203463
GradientBoosting,202,7.5,45.887445887445885
GradientBoosting,202,10.0,53.67965367965368
GradientBoosting,202,12.5,61.471861471861466
GradientBoosting,202,15.0,66.66666666666666
GradientBoosting,202,17.5,69.26406926406926
GradientBoosting,202,20.0,72.2943722943723
GradientBoosting,303,2.5,24.675324675324674
GradientBoosting,303,5.0,33.76623376623377
GradientBoosting,303,7.5,38.961038961038966
GradientBoosting,303,10.0,50.21645021645021
GradientBoosting,303,12.5,56.709956709956714
GradientBoosting,303,15.0,65.80086580086581
GradientBoosting,303,17.5,70.995670995671
GradientBoosting,303,20.0,71.86147186147186
GradientBoosting,404,2.5,32.467532467532465
GradientBoosting,404,5.0,38.961038961038966
GradientBoosting,404,7.5,48.05194805194805
GradientBoosting,404,10.0,54.54545454545454
GradientBoosting,404,12.5,62.33766233766234
GradientBoosting,404,15.0,67.53246753246754
GradientBoosting,404,17.5,71.42857142857143
GradientBoosting,404,20.0,76.62337662337663
GradientBoosting,505,2.5,25.108225108225106
GradientBoosting,505,5.0,39.82683982683983
GradientBoosting,505,7.5,46.320346320346324
GradientBoosting,505,10.0,57.14285714285714
GradientBoosting,505,12.5,61.471861471861466
GradientBoosting,505,15.0,70.12987012987013
GradientBoosting,505,17.5,74.45887445887446
GradientBoosting,505,20.0,76.62337662337663
GradientBoosting,606,2.5,21.21212121212121
GradientBoosting,606,5.0,32.03463203463203
GradientBoosting,606,7.5,36.79653679653679
GradientBoosting,606,10.0,44.15584415584416
GradientBoosting,606,12.5,54.97835497835498
GradientBoosting,606,15.0,63.63636363636363
GradientBoosting,606,17.5,70.12987012987013
GradientBoosting,606,20.0,77.05627705627705
